district_code,district_name,gram_panchayat_code,gram_panchayat_name,parent_kp_code
178,Sant Kabir Nagar,86098,Marha Raja,2088
129,Bara Banki,52539,Markamau,1538
129,Bara Banki,52017,Markhapur,1531
179,Bhadohi,86604,Marsara,2095
129,Bara Banki,52684,Marufpur,1540
129,Bara Banki,51953,Marui,1530
164,Mahrajganj,76670,Maryadpur,1932
182,Siddharthnagar,88835,Masajidiya,2130
129,Bara Banki,52066,Masauli,1532
181,Shrawasti,87875,Masha Kalan,2117
182,Siddharthnagar,88716,Masina Khas,2128
129,Bara Banki,268663,Masood Mau,1535
129,Bara Banki,52611,Masuriha,1539
182,Siddharthnagar,88564,Matehna,2126
