district_code,tehsil_code,village_code,village_name,gram_panchayat_code,gram_panchayat_name
146,990,205874,Chak Tiwari,64461,Lakhmipur
146,990,206245,Chak Tiyara Dhav,268611,Chakmahmad Kala
146,990,205877,Chak Usman,64432,Chakfarid
146,988,204210,Chak Usman,64618,Baheri
146,990,205885,Chak Wahed,64427,Bisunpura
146,990,206166,Chak Wajid Pur,63908,Murtajipur
146,988,204371,Chak Yadav,64658,Maharoompur
146,988,204401,Chak Yadgar,63965,Khojanpur
146,990,205853,Chakabadlu,64434,Chak Mukund Urf Bartar
146,990,205854,Chakabdulla M. Nonhara,64434,Chak Mukund Urf Bartar
146,990,206150,Chakahmad Kala Remar,63888,Jogamusahib
146,988,204149,Chakahrazu,64657,M. Rafi Alias Shivdaspur
146,988,204605,Chakari Gangwarar,245536,Chakeri Uparvar
146,6834,205321,Chakasiya,64238,Mehraur
146,988,204326,Chakbasant,64677,Rastepur
146,6835,206736,Chakbidaman,63864,Sayar
146,989,204947,Chakchora,64043,Mahamudpur
146,990,205910,Chakdan Khajgi,64464,Mahuwi
146,989,204946,Chakdaud,64043,Mahamudpur
146,991,206639,Chakdharni,64518,Reotipur
146,987,203555,Chakdhora,64141,Sonhara
146,6834,205800,Chakea Urf Misrawalia,64716,Gopalpur
146,988,204604,Chakeri Upraw,245536,Chakeri Uparvar
146,989,205093,Chakesa Urf Bakarabad,267061,Chakesa Urf Bakarabad
146,990,205915,Chakfiroj M. Chhattarpur,64438,Chhattarpur
146,990,205903,Chakfiroj M. Sukhpura,64483,Sukhpura
146,987,203764,Chakh Hasan,64290,Chak Bakar
146,990,205721,Chakia Bado Pur,269016,Chak Badopur
146,988,204416,Chakia Khatib,63940,Bhitari Taraf Sadur
146,988,204455,Chakia Muhammad,63929,Akawas Patti
146,988,204304,Chakiya Mason,64669,Newada Chakiya
146,988,204194,Chakiya Newaj,64633,Darhawal
146,6834,205788,Chakjean Pah,64701,Gortiyara
146,988,204464,Chakjiram Wairagi,63982,Pacharasi
146,991,206539,Chakka Bandh,64813,Baresar
146,987,203653,Chakkhan Muhammad,64120,Mustfabad
146,990,206185,Chakkhan Muhammad,63899,Mahender
146,988,204268,Chakkushi,64673,Patana
