village_code,village_name,district_code,tehsil_code
124936,Salahnagar Barbar,118,768
124624,Salemabad,118,766
124843,Salemabad,118,767
125150,Salempur Ghankar,118,769
125109,Salempur Muria,118,769
124715,Samara,118,767
125329,Samaramau,118,770
124675,Samogar Ehtmali,118,766
124674,Samogar Mustkil,118,766
124784,Sandhan,118,767
125188,Sankuri Kalan,118,769
125182,Sankuri Khurd,118,769
125322,Sannpura,118,770
124760,Santha,118,767
124900,Sarai Ahmad,118,768
124466,Sarai Day Ruppa,118,765
124541,Sarai Jairam,118,765
940848,Sarajepur,118,766
125130,Sarangpur,118,769
124934,Sarenda,118,768
124914,Sarendhi,118,768
124677,Sargan Khera,118,766
125392,Sarokhipura,118,770
124769,Sarsa,118,767
124678,Sarvatpur,118,766
940860,Satauli,118,765
940861,Satta,118,765
125194,Seha,118,770
125002,Sekhpur Nagla,118,768
124482,Semra,118,765
125032,Seola Ahir,118,769
125062,Seola Gaurwa,118,769
124491,Seora,118,765
125203,Serab,118,770
125380,Shahapur Brahaman,118,770
125398,Shahapur Goojar,118,770
124880,Shahganj,118,768
125167,Shahidpur,118,769
124908,Shahpur Jagner,118,768
125195,Shahpur Khalsa,118,770
124986,Shahpur Nadim,118,768
124953,Shahpur Rakauli,118,768
125086,Shahpur Toola,118,769
125144,Shahved,118,769
125057,Shamshabad,118,769
125060,Shekhupur,118,769
124493,Sherkhan,118,765
125012,Sherpur,118,768
940849,Shewla Jat,118,766
940850,Shikandra Bahitabad,118,766
941953,Shohalla Chungi Andar,118,766
124651,Shyamo,118,766
125221,Siahipura,118,770
124976,Siarmau,118,768
125261,Sidhavli,118,770
124527,Sihorgarh,118,765
125196,Sihpura,118,770
125372,Sijwaripura,118,770
124746,Sika Rauda,118,767
124975,Sikandar Pur,118,768
124581,Sikandarpur Ehtmali,118,766
124582,Sikandarpur Mustkil,118,766
124728,Sikari 1 Hissa T.A. Outside,118,767
124710,Sikari 2 Hissa,118,767
125104,Sikrara,118,769
124711,Sikri Hissa Iv,118,767
124565,Siktara,118,765
125053,Siktara,118,769
125236,Siktra,118,770
125185,Silauli,118,769
124996,Silokhar,118,768
125295,Silpoli,118,770
125319,Simrahi,118,770
125025,Singaicha,118,769
124905,Singaicha,118,768
124764,Singarpur,118,767
124798,Singna,118,767
124879,Singrawali,118,768
124722,Sirauli,118,767
124611,Siroli,118,766
124961,Sitouli,118,768
124882,Soni Khera,118,768
124718,Sonothi,118,767
124983,Sonra,118,768
124462,Sorai,118,765
124954,Soun,118,768
124601,Sucheta,118,766
125074,Sudhrai,118,769
124512,Sujanpur,118,765
125364,Sujanpura,118,770
124647,Sujgai,118,766
124586,Sunari,118,766
124773,Sunhara,118,767
125264,Sunsar,118,770
124757,Supahara,118,767
125026,Surajpura,118,769
124570,Surehra (Must.),118,765
124571,Surehra Ahatmali,118,765
124754,Surothi,118,767
125228,Sutahari,118,770
124597,Sutendi,118,766
124568,Swain,118,765
124577,Swami Ehtmali,118,766
124576,Swami Mustkil,118,766
125175,Swara,118,769
125258,Syaich,118,770
124911,Syial Pahari,118,768
124981,Taharpur,118,768
124758,Tajpur,118,767
124563,Talab Buriya,118,765
124535,Tamanchgarh,118,765
124676,Tanora Noorpur Ehtmali,118,766
124680,Tanora Nurpur Mustkil,118,766
124874,Tantpur,118,768
124603,Tapara,118,766
125286,Tarason,118,770
125187,Tarauli Gujar,118,769
